Study,Year,Title,Host Organism,Host Classification,Host Habitat,Parasite Organism,Parasite Class,Macro v micro,TheoryEmpiricism,ObservationExperiment,Title Word,DOI,Disease scale
Ellner et al,2020,Individual Specialization and Multihost Epidemics: Disease Spread in Plant-Pollinator Networks,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/708272,between hosts
Getz et al,1996,Host-parasitoid coexistence and egg-limited encounter rates,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285928,between hosts
ANTONOVICS et al,1995,"A GENERALIZED-MODEL OF PARASITOID, VENEREAL, AND VECTOR-BASED TRANSMISSION PROCESSES",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285761,between hosts
White et al,1996,Host-pathogen cycles in self-regulated forest insect systems: Resolving conflicting predictions,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/285921,between hosts
Gulbrandtsen,1997,Maintenance of variation in mating success in hermaphrodites with a sexually transmitted disease,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/286015,between hosts
Boots et al,2002,Parasite-driven extinction in spatially explicit host-parasite systems,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/339996,between hosts
Bolzoni et al,2008,Allometric Scaling and Seasonality in the Epidemics of Wildlife Diseases,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/593000,between hosts
Van Allen et al,2017,Cannibalism and Infectious Disease: Friends or Foes?,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/692734,between hosts
Begon et al,1992,DISEASE AND COMMUNITY STRUCTURE - THE IMPORTANCE OF HOST SELF-REGULATION IN A HOST-HOST-PATHOGEN MODEL,NA,General,NA,NA,general,general,Theory,NA,"Disease, Pathogen",10.1086/285379,between hosts
Yan et al,1996,Parasite-mediated competition: A model of directly transmitted macroparasites,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285973,between hosts
Taylor et al,1997,Density-dependent parasitoid recruitment per parasitized host: Effects on parasitoid-host dynamics,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/286034,between hosts
Dobson et al,2004,Population dynamics of pathogens with multiple host species,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/424681,between hosts
Rudolf et al,2005,Species coexistence and pathogens with frequency-dependent transmission,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/430674,between hosts
Holt and Roy,2007,Predation can increase the prevalence of infectious disease,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/513188,between hosts
Greenman et al,2008,Exclusion of generalist pathogens in multihost communities,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/590967,between hosts
Cortez et al,2020,Comparing the Indirect Effects between Exploiters in Predator-Prey and Host-Pathogen Systems,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/711345,between hosts
Hall et al,2005,Selective predation and productivity jointly drive complex behavior in host-parasite systems,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/426601,between hosts
Greenman et al,2010,Pathogen Exclusion from Eco-Epidemiological Systems,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/653669,between hosts
O'Keefe et al,2002,Playing by different rules: The evolution of virulence in sterilizing pathogens,NA,General,NA,NA,sterilizing pathogens,general,Theory,NA,Pathogen,10.1086/339990,between hosts
Roche et al,2013,The Impact of Community Organization on Vector-Borne Pathogens,NA,General,NA,Generic & also West Nile Virus,vector-borne,general,T/E,Observation,Pathogen,10.1086/668591,between hosts
Ferrari et al,2006,A gravity model for the spread of a pollinator-borne plant pathogen,Silene,Plant,Terrestrial,Microbotryum,fungi,Microparasite,T/E,Experiment,Pathogen,10.1086/506917,between hosts
Brooks et al,2008,Spatial and temporal heterogeneity explain disease dynamics in a spatially explicit network model,Silene virginica,Plant,Terrestrial,Microbotryum violaceum,fungi,Microparasite,T/E,Observation,Disease,10.1086/589451,between hosts
Mordecai et al,2013,"Consequences of Pathogen Spillover for Cheatgrass-Invaded Grasslands: Coexistence, Competitive Exclusion, or Priority Effects",Grasses,Plant,Terrestrial,Fungal seed pathogen,fungi,Microparasite,T/E,Observation,Pathogen,10.1086/670190,between hosts
Thrall et al,1995,FREQUENCY-DEPENDENT DISEASE TRANSMISSION AND THE DYNAMICS OF THE SILENE-USTILAGO HOST-PATHOGEN SYSTEM,Caryophyllaceae,Plant,Terrestrial,Ustilago violacea,fungi,Microparasite,Theory,NA,Disease,10.1086/285727,between hosts
THRALL et al,1993,HOST AND PATHOGEN COEXISTENCE IN SEXUALLY-TRANSMITTED AND VECTOR-BORNE DISEASES CHARACTERIZED BY FREQUENCY-DEPENDENT DISEASE TRANSMISSION,Silene alba,Plant,Terrestrial,Ustilago violacea,fungi,Microparasite,Theory,NA,"Disease, Pathogen",10.1086/285554,between hosts
Jiang et al,2020,Pathogens and Mutualists as Joint Drivers of Host Species Coexistence and Turnover: Implications for Plant Competition and Succession,Plant,Plant,Terrestrial,Pathogens,generic microparasites,Microparasite,Theory,NA,Pathogen,10.1086/707355,between hosts
Power and Mitchell,2004,Pathogen spillover in disease epidemics,Multiple Grass Species,Plant,Terrestrial,Barley yellow dwarf virus,virus,Microparasite,Empirical,Experiment,"Pathogen, Disease",10.1086/424610,between hosts
Taylor et al,1998,The acquisition of hypovirulence in host-pathogen systems with three trophic levels,Trees / chestnut blight,Mixed,Terrestrial,Fungus / virus?,mixed,Microparasite,Theory,NA,Pathogen,10.1086/286123,between hosts
Truitt et al,2019,Trait-Based Modeling of Multihost Pathogen Transmission: Plant-Pollinator Networks,Plants & pollinators,Mixed,Terrestrial,Pathogens,generic microparasites,Microparasite,Theory,NA,Pathogen,10.1086/702959,between hosts
Hartemink et al,2008,The basic reproduction number for complex disease systems: Defining R-0 for tick-borne infections,Ixodes ricinus,Mixed,Terrestrial,Borrelia burgdorferi,bacteria,Microparasite,Theory,NA,Disease,10.1086/587530,between hosts
Canard et al,2014,Empirical Evaluation of Neutral Interactions in Host-Parasite Networks,Rodents,Vertebrate,Terrestrial,Ectoparasites,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/675363,between hosts
Coates et al,2017,Living on the Edge: Parasite Prevalence Changes Dramatically across a Range Edge in an Invasive Gecko,Hemidactylus frenatus,Vertebrate,Terrestrial,Mite/Pentastome,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/689820,between hosts
Weber et al,2017,"Resist Globally, Infect Locally: A Transcontinental Test of Adaptation by Stickleback and Their Tapeworm Parasite",Stickleback,Vertebrate,Aquatic,Tapeworm,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/689597,between hosts
Jolles et al,2006,Independent and competing disease risks: Implications for host Populations in variable environments,Syncerus caffer,Vertebrate,Terrestrial,Mycobacterium bovis,bacteria,Microparasite,T/E,Observation,Disease,10.1086/503055,between hosts
Rohani et al,2002,The interplay between determinism and stochasticity in childhood diseases,Homo sapiens,Vertebrate,Terrestrial,Measles/Whooping Cough,mixed,Microparasite,T/E,Observation,Disease,10.1086/339467,between hosts
Orrock et al,2011,"Biogeographic and Ecological Regulation of Disease: Prevalence of Sin Nombre Virus in Island Mice Is Related to Island Area, Precipitation, and Predator Richness",Peromyscus maniculatus,Vertebrate,Terrestrial,Sin Nombre Virus,virus,Microparasite,Empirical,Observation,Disease,10.1086/659632,between hosts
Hartfield et al,2014,Epidemiological Feedbacks Affect Evolutionary Emergence of Pathogens,Humans,Vertebrate,Terrestrial,Chikungunya,virus,Microparasite,T/E,Observation,Pathogen,10.1086/674795,between hosts
Hilker et al,2009,"The Allee Effect and Infectious Diseases: Extinction, Multistability, and the (Dis-)Appearance of Oscillations",Domestic Cats,Vertebrate,Terrestrial,Feline immunodeficiency virus,virus,Microparasite,Theory,NA,Disease,10.1086/593357,between hosts
Fenton et al,2015,Are All Hosts Created Equal? Partitioning Host Species Contributions to Parasite Persistence in Multihost Communities,Rodentia,Vertebrate,Terrestrial,Gastroinestinal parasite,mixed,mixed,T/E,Observation,Parasit*,10.1086/683173,between hosts
Cronin et al,1999,Dispersal-dependent oviposition and the aggregation of parasitism,Prokelisia dolus/Prokelisia marginata,Invertebrate,Terrestrial,Anagrus sophiae,invertebrate,Macroparasite,Empirical,Observation/Experiment,Parasit*,10.1086/303221,"between hosts, among patches"
Shuker et al,2005,Sex ratios under asymmetrical local mate competition: Theory and a test with parasitoid wasps,Dipteran pupae,Invertebrate,Terrestrial,Parasitoid wasps,invertebrate,Macroparasite,T/E,Experiment,Parasit*,10.1086/432562,"between hosts, among patches"
AYAL et al,1993,OPTIMAL EGG DISTRIBUTION AMONG HOST PATCHES FOR PARASITOIDS SUBJECT TO ATTACK BY HYPERPARASITOIDS,Brevicoryne brassicae,Invertebrate,Terrestrial,Diaeretiella rapae,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285464,"between hosts, among patches"
Gross et al,1999,Inferring host-parasitoid stability from patterns of parasitism among patches,Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/303248,"between hosts, among patches"
ROHANI et al,1994,AGGREGATION AND THE DYNAMICS OF HOST-PARASITOID SYSTEMS - A DISCRETE-GENERATION MODEL WITH WITHIN-GENERATION REDISTRIBUTION,NA,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285688,"between hosts, among patches"
Hughes et al,2015,Effects of Forest Spatial Structure on Insect Outbreaks: Insights from a Host-Parasitoid Model,Insects,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/680860,"between hosts, among patches"
IVES et al,1992,CONTINUOUS-TIME MODELS OF HOST-PARASITOID INTERACTIONS,Arthropods,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285400,"between hosts, among patches"
IVES et al,1992,DENSITY-DEPENDENT AND DENSITY-INDEPENDENT PARASITOID AGGREGATION IN MODEL HOST-PARASITOID SYSTEMS,Arthropods,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285448,"between hosts, among patches"
Dwyer et al,1998,Spatial scale and the spread of a fungal pathogen of gypsy moth,Gypsy moth,Invertebrate,Terrestrial,Entomophaga maimaiga,fungi,Microparasite,T/E,Observation & Experiment,Pathogen,10.1086/286185,"between hosts, among patches"
DWYER et al,1994,DENSITY-DEPENDENCE AND SPATIAL STRUCTURE IN THE DYNAMICS OF INSECT PATHOGENS,Insects,Invertebrate,Terrestrial,viruses,virus,Microparasite,T/E,Observation & Experiment,Pathogen,10.1086/285619,"between hosts, among patches"
GODFRAY et al,1992,AGGREGATION AND THE POPULATION-DYNAMICS OF PARASITOIDS AND PREDATORS,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285401,"between hosts, among patches"
ADLER et al,1993,MIGRATION ALONE CAN PRODUCE PERSISTENCE OF HOST-PARASITOID MODELS,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285496,"between hosts, among patches"
Wodarz et al,2013,"Nearest-Neighbor Interactions, Habitat Fragmentation, and the Persistence of Host-Pathogen Systems",NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/671185,"between hosts, among patches"
Schreiber et al,2000,Coevolution of contrary choices in host-parasitoid systems,NA,General,NA,parasitoids,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/303347,"between hosts, among patches"
Gatto et al,2013,Spatially Explicit Conditions for Waterborne Pathogen Invasion,NA,General,NA,Pathogen,waterborne pathogen,general,Theory,NA,Pathogen,10.1086/671258,"between hosts, among patches"
Papaix et al,2021,Metapopulation Structure Predicts Population Dynamics in the Cakile maritima-Alternaria brassicicola Host-Pathogen Interaction,Cakile maritima,Plant,Terrestrial,Alternaria brassicicola,fungi,Microparasite,T/E,Observation,Pathogen,10.1086/712248,"between hosts, among patches"
Zink et al,2000,The evolution of intraspecific brood parasitism in birds and insects,NA,Animals,NA,Brood parasites,Brood parasites,Brood,Theory,NA,Parasit*,10.1086/303325,excluded
Zink et al,2016,Evolution of Conspecific Brood Parasitism versus Cooperative Breeding as Alternative Reproductive Tactics,NA,Animals,NA,Brood parasites,Brood parasites,Brood,Theory,NA,Parasit*,10.1086/684127,excluded
WERREN et al,1993,POPULATION-GENETICS OF A PARASITIC CHROMOSOME - THEORETICAL-ANALYSIS OF PSR IN SUBDIVIDED POPULATIONS,Wasp,Invertebrate,Terrestrial,Chromosome,Chromosome,Cellular,Theory,NA,Parasit*,10.1086/285536,excluded
Cervo et al,2004,Fast growth of immature brood in a social parasite wasp: A convergent evolution between avian and insect cuckoos,Polistes dominulus,Invertebrate,Terrestrial,Polistes sulcifer,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/425987,excluded
Spear et al,2016,Asteraceae Pollen Provisions Protect Osmia Mason Bees (Hymenoptera: Megachilidae) from Brood Parasitism,Bees,Invertebrate,Terrestrial,Wasps,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/686241,excluded
Powell et al,2014,Mimicry and Eavesdropping Enable a New Form of Social Parasitism in Ants,Ant,Invertebrate,Terrestrial,Ant,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/677927,excluded
Rautiala et al,2016,Intragenomic Conflict over Soldier Allocation in Polyembryonic Parasitoid Wasps,Arthropods,Invertebrate,Terrestrial,Parasitoid wasps,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/685082,excluded
Getty et al,2002,Signaling health versus parasites,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/338992,excluded
FOLSTAD et al,1992,"PARASITES, BRIGHT MALES, AND THE IMMUNOCOMPETENCE HANDICAP",NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/285346,excluded
BROOKS et al,1993,"COMPARATIVE-STUDY OF ADAPTIVE RADIATIONS WITH AN EXAMPLE USING PARASITIC FLATWORMS (PLATYHELMINTHES, CERCOMERIA)",NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/285571,excluded
Hamilton et al,2002,Three-player social parasitism games: Implications for resource defense and group formation,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/339994,excluded
Harvell et al,2004,Ecology and evolution of host-pathogen interactions in nature,NA,General,NA,NA,general,general,NA,NA,Pathogen,10.1086/424611,excluded
Hovestadt et al,2007,"An evolutionarily stable strategy model for the evolution of dimorphic development in the butterfly Maculinea rebeli, a social parasite of Myrmica ant colonies",NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/512134,excluded
Gardner et al,2007,"Spiteful soldiers and sex ratio conflict in polyembryonic parasitoid wasps (vol 169, pg 519, 2007)",NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/518801,excluded
Hovestadt et al,2012,Unexpected Benefit of a Social Parasite for a Key Fitness Component of Its Ant Host,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/663203,excluded
Hardy et al,2012,Testing for Ecological Limitation of Diversification: A Case Study Using Parasitic Plants,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/667588,excluded
Lively,2014,Interesting Open Questions in Disease Ecology and Evolution,NA,General,NA,NA,general,general,NA,NA,Disease,10.1086/677032,excluded
Cook et al,2015,DNA Methylation and Sex Allocation in the Parasitoid Wasp Nasonia vitripennis,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/682950,excluded
Alizon et al,2016,A Visionary Pioneer of Parasite Ecology and Evolution,NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/686526,excluded
Ellers et al,2019,"The Importance of Validating the Demethylating Effect of 5-aza-2 '-deoxycytidine in Model Species (A Comment on Cook et al., DNA Methylation and Sex Allocation in the Parasitoid Wasp Nasonia vitripennis)",NA,General,NA,NA,general,general,NA,NA,Parasit*,10.1086/704247,excluded
Gardner et al,2007,Spiteful soldiers and sex ratio conflict in polyembryonic parasitoid wasps,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/512107,excluded
Messinger et al,2009,The Consequences of Spatial Structure for the Evolution of Pathogen Transmission Rate and Virulence,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/605375,excluded
de Valpine et al,2008,Conspecific brood parasitism and population dynamics,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/590956,excluded
Baran et al,2015,"Coevolution of Parental Care, Parasitic, and Resistance Efforts in Facultative Parasitism",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/683227,excluded
Martinez et al,2020,Age-Related Brood Parasitism and Egg Rejection in Magpie Hosts,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Empirical,Observation & Experiment,Parasit*,10.1086/708155,excluded
Slagsvold et al,1998,On the origin and rarity of interspecific nest parasitism in birds,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Empirical,Experiment,Parasit*,10.1086/286166,excluded
Slagsvold et al,2001,Sexual imprinting and the origin of obligate brood parasitism in birds,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Empirical,Experiment,Parasit*,10.1086/321994,excluded
Spottiswoode et al,2012,Host-Parasite Arms Races and Rapid Changes in Bird Egg Appearance,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Empirical,Observation,Parasit*,10.1086/665031,excluded
Medina et al,2016,Brood Parasitism Is Linked to Egg Pattern Diversity within and among Species of Australian Passerines,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Empirical,Observation,Parasit*,10.1086/684627,excluded
Medina et al,2017,The Evolution of Clutch Size in Hosts of Avian Brood Parasites,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,T/E,Observation,Parasit*,10.1086/693778,excluded
YAMAUCHI et al,1995,THEORY OF EVOLUTION OF NEST PARASITISM IN BIRDS,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Theory,NA,Parasit*,10.1086/285748,excluded
Takasu et al,1998,Why do all host species not show defense against avian brood parasitism: Evolutionary lag or equilibrium?,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Theory,NA,Parasit*,10.1086/286111,excluded
Ruxton et al,2001,Are unusually colored eggs a signal to potential conspecific brood parasites?,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Theory,NA,Parasit*,10.1086/319319,excluded
Poysa et al,2007,Nest predation and the evolution of conspecific brood parasitism: From risk spreading to risk assessment,Birds,Vertebrate,Terrestrial,Birds,vertebrate,Brood,Theory,NA,Parasit*,10.1086/509943,excluded
Andersson et al,2001,Relatedness and the evolution of conspecific brood parasitism,Birds,Vertebrate,Terrestrial,NA,general,general,Theory,NA,Parasit*,10.1086/324113,excluded
Andersson et al,2017,Helping Relatives Survive and Reproduce: Inclusive Fitness and Reproductive Value in Brood Parasitism,Eiders/Goldeneye/White-tailed eagle,Vertebrate,Terrestrial,NA,general,general,Theory,NA,Parasit*,10.1086/689991,excluded
SORCI et al,1994,MATERNAL PARASITE LOAD INCREASES SPRINT SPEED AND PHILOPATRY IN FEMALE OFFSPRING OF THE COMMON LIZARD,Lizard,Vertebrate,Terrestrial,Ectoparasites,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285666,excluded
Thompson et al,1997,High parasite load in house finches (Carpodacus mexicanus) is correlated with reduced expression of a sexually selected trait,Finch,Vertebrate,Terrestrial,Mite & pox,mixed,mixed,Empirical,Observation,Parasit*,10.1086/285990,excluded
Rifkin et al,2012,Do Animals Living in Larger Groups Experience Greater Parasitism? A Meta-Analysis,Animals,Animals,NA,Parasites,general,general,Empirical,Observation,Parasit*,10.1086/666081,macro
WIEGMANN et al,1993,DIVERSIFICATION OF CARNIVOROUS PARASITIC INSECTS - EXTRAORDINARY RADIATION OR SPECIALIZED DEAD-END,Animals,Animals,NA,Insects,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285570,macro
Birnbaum et al,2016,Patterns of Specificity of the Pathogen Escovopsis across the Fungus-Growing Ant Symbiosis,Fungus,Fungus,Terrestrial,Escovopsis,fungi,Microparasite,Empirical,Experiment,Pathogen,10.1086/686911,macro
CORNELL et al,1993,ACCUMULATION OF NATIVE PARASITOID SPECIES ON INTRODUCED HERBIVORES - A COMPARISON OF HOSTS AS NATIVES AND HOSTS AS INVADERS,Insect herbivores,Invertebrate,Terrestrial,Hymenopteran/Dipteran,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285512,macro
HAWKINS et al,1992,"RELATIONS AMONG ASSEMBLAGE SIZE, HOST SPECIALIZATION, AND CLIMATIC VARIABILITY IN NORTH-AMERICAN PARASITOID COMMUNITIES",Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Empirical,Observation,Parasit*,10.1086/285313,macro
